id,name,project_type,description,status,start_date,end_date,function_points,interface_count,technology_stack,demand_stability_rating,team_size,team_experience_level,priority,risk_level
148,通过一些项目,咨询服务,重要程序下载产品今年.客户公司其实会员全国.,completed,2023-11-12,2024-01-17,0,0,[],4.2,3,junior,low,medium
149,不过国家项目,系统集成,名称组织商品提高数据类型.在线注册一种或者系列.,completed,2022-08-10,2023-07-29,382,27,"[""Kubernetes"", ""PHP"", ""Django"", ""MySQL"", ""Docker"", ""MongoDB""]",2.5,12,junior,medium,low
150,增加也是项目,硬件采购,专业中文那么位置.如此不会处理留言您的一下.,completed,2022-08-30,2023-02-23,0,0,[],2.7,18,mixed,medium,low
151,当前为什项目,硬件采购,查看类型工程.在线科技一定具有生产发生以上.各种新闻广告经济两个都是.,cancelled,2024-01-16,2024-12-29,0,0,[],3.5,9,mixed,medium,low
152,提高要求项目,软件开发,发布运行一起或者.,planning,2023-11-13,2024-07-10,96,0,"[""MySQL"", ""Kubernetes""]",3.3,15,junior,low,medium
153,选择全国项目,市场推广,不是这些没有城市还有很多.他们但是是否全国.,in_progress,2023-10-31,2024-03-31,0,0,[],4.2,8,senior,high,low
154,为什需要项目,硬件采购,社区如何时间.帖子方法联系选择地区.是否因为应该一直.主要全部各种成功.,in_progress,2023-06-16,2024-03-21,0,0,[],2.8,16,mixed,high,low
155,个人介绍项目,咨询服务,所以还有运行决定.商品当然合作专业她的.,completed,2024-06-25,2024-11-10,0,0,[],2.9,6,junior,high,medium
156,自己网上项目,系统集成,非常安全手机客户应该他的.影响管理部门详细电话.,planning,2023-01-23,2023-05-25,270,12,"[""SQLite"", ""Flask"", ""AWS"", ""Redis""]",3.6,16,mixed,low,medium
157,已经一下项目,咨询服务,规定项目类别更多文化可是什么.完全文章更新.法律其中自己您的学生显示.,planning,2024-03-06,2025-01-31,0,0,[],4.3,14,junior,low,low
158,朋友能够项目,市场推广,无法自己分析学生手机.语言更新全国用户价格更新系列时间.一直设备也是其实都是经营以及.,cancelled,2022-09-24,2023-03-11,0,0,[],1.6,7,senior,medium,low
159,我的回复项目,硬件采购,网络登录图片作者正在状态现在.一些能够之后.选择情况我们必须也是.,cancelled,2022-10-06,2023-03-01,0,0,[],4.3,15,senior,high,low
160,实现控制项目,硬件采购,法律应用希望的话回复来自规定.无法本站经济解决这个出来.全部这样部门我的.在线表示一直国内不同选择经验.,cancelled,2023-05-19,2024-01-26,0,0,[],3.4,8,junior,low,low
161,表示实现项目,软件开发,表示部门登录全部最新业务.大学留言来源时间类型.,completed,2024-05-18,2024-11-29,247,0,"[""Google Cloud"", ""AWS"", ""MySQL""]",2.9,20,junior,high,low
162,为什方面项目,硬件采购,美国状态都是标准那么.男人学习一样.教育希望一般.,planning,2022-08-23,2023-07-10,0,0,[],3.8,6,junior,low,high
163,工程音乐项目,系统集成,一次个人技术发表.国家感觉一点评论还是由于.,planning,2022-08-14,2022-11-28,326,1,"[""Node.js"", ""Redis"", ""Go""]",1.1,2,senior,low,low
164,安全现在项目,咨询服务,基本资源发展时间对于成功.部分这是拥有经济只有一起.,in_progress,2023-07-12,2024-03-09,0,0,[],2.2,2,senior,high,high
165,所以留言项目,硬件采购,不同数据决定基本现在能力.生产建设销售不同为了研究.,planning,2024-05-12,2024-07-25,0,0,[],3.0,16,junior,low,low
166,到了发布项目,硬件采购,全国使用只要关于.日本汽车公司.而且这种今天孩子音乐.,in_progress,2023-07-20,2023-10-02,0,0,[],3.0,11,junior,low,low
167,应该大学项目,咨询服务,分析中国主题一个.市场时间很多有关不会名称.觉得名称公司帮助城市.,planning,2023-04-12,2023-06-16,0,0,[],3.6,2,mixed,medium,high
168,发现商品项目,系统集成,一样汽车软件全部非常.如果威望谢谢日本内容出来.,planning,2022-07-18,2022-12-13,183,13,"[""Java"", ""Redis"", ""JavaScript"", ""Docker"", ""PostgreSQL"", ""Angular""]",3.0,6,mixed,high,low
169,法律会员项目,系统集成,标题实现比较政府起来教育登录那么.相关能够注册可是世界是一世界.,completed,2022-09-02,2022-12-15,484,49,"[""JavaScript"", ""MySQL""]",2.1,14,junior,low,high
170,产品设备项目,硬件采购,关于业务回复如此完成非常.环境最后同时都是组织音乐.,planning,2022-10-14,2023-03-30,0,0,[],3.5,5,mixed,high,high
171,帮助一切项目,市场推广,他们只有企业工作.没有记者目前不同在线一次进入.这种有限的人国家.,completed,2022-11-20,2023-06-21,0,0,[],4.2,7,senior,high,medium
172,空间责任项目,系统集成,威望注册实现服务只有.,planning,2022-10-17,2023-01-25,16,12,"[""Flask"", ""Python"", ""C#""]",4.0,10,senior,low,high
173,两个功能项目,咨询服务,已经能力或者只有电影她的出现.本站位置只要当然.,planning,2022-08-26,2022-11-23,0,0,[],4.7,10,mixed,low,high
174,这是成为项目,市场推广,项目在线重要企业.系列看到推荐文化建设觉得.数据今天世界注册.,cancelled,2023-02-25,2023-11-14,0,0,[],1.0,3,mixed,medium,high
175,觉得日本项目,咨询服务,不能相关密码不会.控制大家影响两个.日本客户结果登录社会美国.,completed,2024-02-07,2024-03-29,0,0,[],1.2,20,senior,medium,low
176,介绍的人项目,系统集成,其实提供事情部分有关.大小会员单位内容.,planning,2023-04-14,2023-07-12,435,23,"[""Ruby"", ""Django"", ""Spring"", ""Go"", ""Vue.js""]",4.2,17,senior,medium,high
177,不是处理项目,硬件采购,使用产品男人以及目前正在.,completed,2023-02-26,2023-05-22,0,0,[],2.8,19,mixed,low,high
178,公司朋友项目,软件开发,资料其他电影这里安全那么.世界品牌这样报告.电影要求一些名称.,planning,2024-02-02,2024-12-24,414,0,"[""MongoDB"", ""Angular"", ""PostgreSQL""]",2.7,16,senior,high,high
179,商品那个项目,咨询服务,作为应该留言这种为了文章.法律事情他的业务.搜索自己首页所有进行.有限这种东西或者必须浏览.,in_progress,2024-03-18,2024-12-18,0,0,[],2.0,8,junior,low,medium
180,功能国际项目,市场推广,是否记者用户.深圳组织生活这些.,in_progress,2023-03-13,2023-07-04,0,0,[],4.3,14,senior,high,medium
181,规定责任项目,咨询服务,地方生活日期特别准备继续就是.因此她的希望增加但是.,planning,2023-08-02,2024-07-25,0,0,[],4.6,6,mixed,low,low
182,部分标准项目,系统集成,功能情况管理完全.技术不同感觉得到计划是否这是.责任不会论坛今天内容很多.,cancelled,2022-09-17,2023-04-19,12,34,"[""MySQL"", ""Google Cloud"", ""Flask"", ""Django"", ""Docker"", ""Redis""]",2.1,12,mixed,medium,low
183,规定程序项目,硬件采购,销售最后今年.工程基本操作.还有人民中心.,completed,2024-01-09,2024-07-07,0,0,[],2.8,18,mixed,high,high
184,名称直接项目,市场推广,记者比较她的学生其他特别行业投资.我们这里介绍是一北京.,completed,2023-08-06,2024-01-14,0,0,[],2.0,16,senior,high,medium
185,而且不会项目,系统集成,自己日期重要同时日期.同时只是更多人员发展出来.,in_progress,2023-10-30,2024-07-24,219,49,"[""Java"", ""Django"", ""PHP"", ""Ruby""]",1.3,9,junior,low,medium
186,那些游戏项目,软件开发,东西计划日本密码设备.中心会员工程电子专业这么.,cancelled,2023-12-02,2024-09-12,92,0,"[""MySQL"", ""SQLite"", ""Redis"", ""Vue.js""]",2.6,10,mixed,medium,medium
187,您的其实项目,咨询服务,全部政府音乐生产或者国际.最大比较还是相关您的.学生电子虽然网站音乐中国本站.,in_progress,2022-09-20,2023-06-24,0,0,[],2.4,6,junior,low,low
188,网上自己项目,系统集成,经验继续发布一个.情况中文这是查看.,cancelled,2024-01-30,2024-12-29,474,38,"[""Kubernetes"", ""Node.js""]",4.4,5,senior,medium,medium
189,进入业务项目,市场推广,最大软件那些.发现控制为什公司一般.,completed,2024-06-28,2024-09-18,0,0,[],3.5,3,junior,medium,high
190,目前因此项目,市场推广,投资日期合作全国规定下载.内容设计客户同时国家.,cancelled,2023-07-14,2023-12-16,0,0,[],1.5,18,mixed,high,low
191,非常不断项目,市场推广,来源感觉使用解决.进入开发网上.大家方法安全今天基本.,completed,2023-02-15,2024-01-03,0,0,[],3.7,10,junior,high,medium
192,关系单位项目,硬件采购,更多图片提供发现设备生活开始.,completed,2023-10-26,2024-10-16,0,0,[],1.1,6,junior,high,low
193,管理电话项目,软件开发,社会信息发布其他.论坛知道开始所有服务当前提高.,completed,2023-09-25,2024-08-05,85,0,"[""Google Cloud"", ""Docker"", ""Angular"", ""Go""]",3.0,17,mixed,medium,high
194,教育北京项目,硬件采购,点击结果报告你的.类别品牌一般没有.,completed,2024-06-05,2024-12-24,0,0,[],2.4,16,junior,high,high
195,发展汽车项目,硬件采购,原因这种回复然后.通过应用成为语言.,planning,2022-10-12,2023-03-27,0,0,[],3.7,6,junior,low,low
196,决定新闻项目,软件开发,拥有首页国内系列虽然因此.中国部门没有知道.作品方法电脑之后所以主题最大.,completed,2024-02-02,2024-03-24,96,0,"[""C#"", ""MongoDB"", ""MySQL"", ""Go"", ""Ruby"", ""PostgreSQL""]",1.9,12,mixed,low,medium
197,可以规定项目,咨询服务,很多最后组织最新谢谢加入在线.事情帖子完成内容学习你的.,cancelled,2023-03-09,2023-06-20,0,0,[],3.5,19,junior,high,high
198,之后管理项目,咨询服务,可是介绍这么而且起来一些.地址参加直接其中这么简介.,in_progress,2023-05-25,2024-04-17,0,0,[],4.2,9,mixed,low,low
199,音乐联系项目,软件开发,等级信息两个完全等级还是相关.关系手机单位.价格一样选择感觉研究.,planning,2023-08-02,2024-01-23,384,0,"[""Kubernetes"", ""Python""]",2.8,12,senior,medium,high
200,帖子登录项目,系统集成,功能认为注意其中.文化有限经营基本质量.,planning,2023-08-02,2024-03-01,181,7,"[""JavaScript"", ""Angular"", ""React"", ""Django"", ""Node.js""]",3.5,17,junior,high,low
201,分析价格项目,市场推广,主要项目运行地区一点今年.首页最新中文语言.,cancelled,2023-07-02,2023-12-19,0,0,[],1.9,13,senior,high,high
202,完成可以项目,软件开发,回复帮助音乐.,planning,2023-06-26,2023-11-07,485,0,"[""Ruby"", ""Django"", ""PostgreSQL"", ""Flask""]",1.2,14,junior,high,low
203,一样世界项目,咨询服务,都是积分程序标题等级学生大家使用.当然出来在线威望论坛同时.,planning,2024-05-31,2024-08-23,0,0,[],2.2,18,mixed,medium,low
204,网站点击项目,市场推广,应该行业那些之间部门这是.能够出现深圳标准介绍以后.,planning,2024-05-21,2025-03-10,0,0,[],2.1,3,senior,low,high
205,一下网上项目,系统集成,最大搜索那些社区有限一点.法律一起详细问题责任活动.,cancelled,2022-08-20,2023-03-14,429,45,"[""Django"", ""Kubernetes""]",3.5,7,junior,low,low
206,可能不断项目,硬件采购,主题作为运行.可能进行日期拥有不会.,planning,2023-08-18,2024-05-28,0,0,[],4.9,19,mixed,low,medium
207,不是大学项目,系统集成,合作你们电影作品.一次文化成功分析电影如果.,cancelled,2023-07-05,2024-07-02,212,29,"[""Spring"", ""Vue.js"", ""Ruby"", ""Django"", ""Python""]",2.0,9,senior,high,high
208,问题他的项目,软件开发,美国相关发布规定地区联系.什么一点标题文章.人民系统对于生产活动怎么企业.就是日本选择地址.,in_progress,2024-01-22,2024-12-31,330,0,"[""C#"", ""Google Cloud"", ""Python"", ""Angular""]",2.3,14,junior,medium,low
209,如何一定项目,市场推广,拥有日本最新.当前由于这样进行销售电影.活动不同问题有限数据一种.,in_progress,2024-07-06,2024-12-17,0,0,[],2.5,14,senior,low,high
210,行业之后项目,咨询服务,自己无法以后对于建设规定价格能力.记者所有网络不能直接为什.有些一样现在人员可以搜索联系.,completed,2024-02-19,2024-03-31,0,0,[],1.2,13,junior,low,high
211,所有中国项目,软件开发,人民最后可能等级应用.内容一个活动拥有制作一个.地区发展很多不同参加一点一种任何.,in_progress,2023-04-07,2023-11-15,287,0,"[""Angular"", ""Azure"", ""MySQL"", ""Kubernetes"", ""Ruby"", ""Node.js""]",1.1,4,junior,medium,low
212,类型注意项目,软件开发,女人发展发布对于组织.学校也是应用内容公司都是基本不是.,completed,2022-11-03,2023-05-31,18,0,"[""Redis"", ""PostgreSQL""]",4.9,4,senior,high,medium
213,威望点击项目,软件开发,状态评论最新支持作品数据行业.女人时候过程一直已经类别.音乐发生地址可能男人.,completed,2023-08-02,2023-09-29,425,0,"[""Azure"", ""PostgreSQL"", ""AWS"", ""Go"", ""C#"", ""Spring""]",3.4,18,mixed,low,medium
214,帮助一样项目,咨询服务,已经全国选择就是起来积分.东西安全一个这个对于.已经到了一下问题使用喜欢继续.,planning,2023-02-03,2023-09-30,0,0,[],2.0,20,junior,high,high
215,其他方法项目,软件开发,商品说明标准发表.以及东西一点实现历史不过.以后推荐一种作为一下必须会员.,in_progress,2023-11-04,2024-02-25,419,0,"[""Angular"", ""Redis"", ""Vue.js""]",1.1,11,senior,low,high
216,实现为什项目,系统集成,以及可是主题国际中文学生.需要图片没有.,completed,2023-01-18,2023-07-13,89,31,"[""PHP"", ""Ruby"", ""MySQL"", ""MongoDB"", ""Docker"", ""Kubernetes""]",4.2,15,mixed,high,medium
217,控制谢谢项目,硬件采购,一点这里希望欢迎.出来加入北京这个记者内容.学生生产基本没有而且现在登录处理.,in_progress,2023-02-07,2024-01-09,0,0,[],3.0,2,senior,high,high
218,单位阅读项目,市场推广,一下联系有关是否无法你们中国.表示显示一样程序.是否以及深圳联系关系介绍两个决定.,in_progress,2022-07-29,2023-03-06,0,0,[],1.0,7,senior,high,high
219,空间公司项目,系统集成,公司功能记者的话记者相关国家.公司同时设计发现类型留言简介搜索.评论一次表示关系知道她的.,cancelled,2024-01-06,2024-12-06,380,48,"[""PostgreSQL"", ""Flask"", ""React"", ""Docker"", ""Azure""]",3.3,13,junior,low,low
220,分析部分项目,市场推广,程序发生但是今天.责任最后研究相关正在业务.根据记者有关.,planning,2023-11-15,2024-06-10,0,0,[],4.7,11,junior,low,medium
221,日期更新项目,咨询服务,登录位置通过系统.积分拥有出现所以制作.,cancelled,2024-03-27,2024-09-22,0,0,[],2.2,13,senior,high,medium
222,大小报告项目,市场推广,城市学校日期这么孩子网站之间.个人网站计划成为电影今天.,cancelled,2022-08-06,2023-06-08,0,0,[],2.3,5,mixed,low,medium
223,计划新闻项目,硬件采购,品牌继续社区出现.控制无法新闻方法这个简介一定.上海教育也是管理.,in_progress,2023-12-13,2024-05-03,0,0,[],3.5,17,junior,low,medium
224,什么一起项目,系统集成,公司公司大小注册相关中心.组织具有业务公司经营发布全国就是.喜欢还有活动已经帖子阅读分析喜欢.,cancelled,2023-02-18,2023-07-17,230,23,"[""SQLite"", ""Go"", ""MongoDB"", ""Flask"", ""Node.js"", ""JavaScript""]",3.6,5,junior,low,high
225,重要推荐项目,咨询服务,这里目前科技你的是否相关过程.法律其中你的有些阅读语言学习.为了工作孩子推荐管理.,cancelled,2023-11-08,2024-08-22,0,0,[],2.5,13,mixed,low,low
226,支持应该项目,硬件采购,也是这个中文.标题处理怎么全部之后经验女人.选择为什是一数据时候.,completed,2023-05-03,2023-06-26,0,0,[],2.1,12,junior,low,high
227,对于电影项目,咨询服务,由于使用基本.最后你的选择设备美国方法认为.,cancelled,2023-01-26,2024-01-19,0,0,[],4.3,14,junior,low,low
228,全国东西项目,系统集成,增加大家一种最后.就是当然留言价格电影.已经不同世界完成继续使用中心.,in_progress,2022-11-30,2023-05-10,478,6,"[""Django"", ""Redis"", ""PostgreSQL"", ""Docker"", ""Angular""]",2.4,14,senior,medium,low
229,来源这里项目,系统集成,是否我的联系系统.非常本站位置有关标准国内成功.各种只是以及有些情况设备.,in_progress,2023-10-30,2024-09-11,373,18,"[""Docker"", ""PHP"", ""Google Cloud"", ""Go"", ""JavaScript"", ""C#""]",2.4,16,mixed,high,high
230,注册阅读项目,咨询服务,管理规定部分其实法律以及出现.一直活动文章文化欢迎完全.销售说明提供作品还是下载结果.,completed,2023-12-12,2024-03-27,0,0,[],2.9,13,junior,low,low
231,系列那个项目,市场推广,组织什么女人类别音乐作者.,planning,2023-12-25,2024-05-29,0,0,[],1.1,9,senior,low,medium
232,发表但是项目,硬件采购,然后这个文章其实新闻地区还有生活.他的首页的是一点过程.音乐网络学校.,cancelled,2023-04-09,2023-12-26,0,0,[],3.6,12,senior,high,low
233,出现回复项目,市场推广,游戏然后全部不同等级.免费没有教育规定.自己虽然原因我的.,completed,2023-11-24,2024-02-23,0,0,[],4.6,6,mixed,low,low
234,不是搜索项目,咨询服务,建设发现城市.到了作品拥有社区他们.,in_progress,2023-01-04,2023-03-30,0,0,[],3.9,13,senior,medium,medium
235,学生处理项目,咨询服务,解决工程设备选择这些.地区论坛这样进行事情他的时间.,in_progress,2024-02-27,2024-09-03,0,0,[],3.9,7,senior,medium,medium
236,您的经营项目,硬件采购,报告不是为什电脑如此完成.因为其实提高.积分大学信息关系不断.,in_progress,2022-12-30,2023-06-01,0,0,[],1.9,6,mixed,medium,high
237,联系一样项目,咨询服务,网络资源更多发展类别方法.作为应该文化一些.,completed,2023-04-02,2023-05-09,0,0,[],4.6,2,mixed,low,medium
238,投资那个项目,软件开发,操作全部不能不是首页游戏具有不断.显示以下正在你们.不断单位所以广告次数完全密码.,planning,2022-11-12,2023-10-30,484,0,"[""PostgreSQL"", ""Spring"", ""Flask""]",4.5,20,junior,low,medium
239,投资精华项目,市场推广,客户安全说明以上问题不过.主题你的结果感觉这是客户.,cancelled,2024-03-22,2024-10-11,0,0,[],4.1,15,senior,medium,low
240,历史其中项目,系统集成,基本组织类型我们应用.发生无法日本日期我们不会责任.,cancelled,2023-09-23,2024-09-20,408,31,"[""Python"", ""PHP""]",3.9,4,junior,low,low
241,软件内容项目,市场推广,不能还有发现只要建设孩子.,in_progress,2024-02-20,2024-07-14,0,0,[],3.0,17,mixed,low,low
242,注意出来项目,咨询服务,正在之后产品国内.建设过程虽然方法通过可是.,cancelled,2024-02-15,2025-01-10,0,0,[],2.8,15,junior,low,high
243,今天完全项目,软件开发,不要更新到了图片国际部分操作.关系之后您的.那些工作虽然功能.,planning,2023-04-19,2023-12-12,180,0,"[""Python"", ""Go"", ""Angular"", ""Spring""]",4.4,8,senior,low,medium
244,必须其实项目,硬件采购,威望学习原因公司只有.时候不同留言那个管理信息觉得深圳.设计情况如此网站最新.,completed,2023-05-10,2024-04-06,0,0,[],4.0,19,mixed,high,medium
245,美国帖子项目,咨询服务,大小部分图片学习对于这种有限.自己管理制作继续评论参加什么.影响类型音乐投资如果发布非常.,in_progress,2023-05-06,2024-01-13,0,0,[],2.8,19,senior,low,high
246,只是积分项目,市场推广,没有需要东西控制责任软件.介绍开始知道工程.,completed,2024-02-16,2024-07-01,0,0,[],4.0,4,junior,medium,low
247,有限那么项目,市场推广,进入企业作为学生北京.增加学校位置大家信息学习.,completed,2022-08-10,2023-05-18,0,0,[],1.6,9,mixed,medium,low
248,知道威望项目,咨询服务,很多经营经验网络自己合作重要.帮助欢迎如何阅读一些.,in_progress,2022-11-05,2022-12-14,0,0,[],1.6,3,senior,low,low
249,相关游戏项目,软件开发,当前各种资料工程各种开发.文化网上加入进行广告这是一种.开发这些大小联系.,cancelled,2023-02-12,2023-09-24,78,0,"[""Kubernetes"", ""Python"", ""JavaScript"", ""Vue.js""]",3.6,20,junior,medium,low
250,最新汽车项目,咨询服务,关系作品系列点击项目本站免费产品.研究网站客户无法分析时候.搜索运行学生主要.或者社区精华国内.,planning,2023-01-31,2023-10-01,0,0,[],1.7,19,senior,low,high
251,拥有他的项目,市场推广,因为位置因此国际地方.注册更多经营联系.地址时候支持现在解决比较.,cancelled,2023-04-07,2023-11-11,0,0,[],1.3,11,mixed,low,high
252,电子时候项目,市场推广,很多责任资源必须来自一个安全.认为经营不断最新这个.,in_progress,2023-08-06,2023-11-02,0,0,[],1.8,19,junior,low,high
253,应用上海项目,市场推广,具有地方内容.一下有些汽车教育地方日本网站.是否参加游戏决定一次.需要设备就是相关部门.,cancelled,2023-10-21,2024-10-08,0,0,[],3.8,16,senior,low,high
254,用户社会项目,硬件采购,空间一次的人中心以及.环境日期企业在线阅读积分.的人市场北京.,planning,2023-01-27,2023-03-17,0,0,[],4.0,2,senior,high,medium
255,虽然您的项目,硬件采购,单位最后那么.,completed,2023-03-16,2023-07-09,0,0,[],3.3,15,senior,low,low
256,详细学习项目,市场推广,现在图片系统喜欢美国汽车.根据详细帖子正在公司发展.,in_progress,2022-12-03,2023-02-07,0,0,[],2.5,12,junior,high,medium
257,处理一定项目,硬件采购,处理主题只有.服务继续特别.您的其实活动北京北京.,cancelled,2022-11-07,2023-10-24,0,0,[],3.1,7,senior,high,low
258,新闻都是项目,系统集成,这是这个过程有些.那个您的威望就是最大一定没有能够.那么内容人民只有.,cancelled,2023-07-16,2024-04-23,337,22,"[""Django"", ""React"", ""SQLite"", ""JavaScript"", ""Docker""]",4.3,20,senior,low,high
259,销售朋友项目,市场推广,发布记者需要投资点击价格.怎么成为规定原因上海.控制制作产品首页相关.,completed,2023-12-10,2024-10-27,0,0,[],2.8,3,junior,high,low
260,投资到了项目,硬件采购,其中电影语言一下项目.其中生活一般回复美国.网站只要女人不是标准.,planning,2024-03-22,2024-11-04,0,0,[],4.2,4,junior,medium,low
261,状态上海项目,硬件采购,一起很多出来活动一样不同.一次同时以上价格状态最大当然.,completed,2024-02-18,2024-04-10,0,0,[],3.7,8,senior,low,medium
262,在线精华项目,软件开发,合作规定深圳联系直接.搜索就是用户任何手机.,planning,2022-11-17,2023-04-15,40,0,"[""Spring"", ""Redis""]",2.3,15,senior,high,low
263,政府项目项目,市场推广,工具公司你的资源事情网站可是.更多回复只有数据可是支持.电影感觉处理解决使用手机这么.,planning,2022-09-17,2023-06-09,0,0,[],2.4,3,junior,high,low
264,安全所以项目,软件开发,结果如果项目系列软件工作.可以来源然后系统.作为介绍帮助能够比较.,completed,2023-05-21,2023-08-31,475,0,"[""Azure"", ""React"", ""Ruby"", ""Java"", ""Google Cloud""]",2.0,3,junior,medium,low
265,语言具有项目,硬件采购,最新会员如何城市专业作为.客户要求开发单位.这是因为环境类别这么价格标准我们.,in_progress,2024-03-30,2024-12-25,0,0,[],4.3,20,senior,medium,low
266,规定所以项目,市场推广,资料经济来自感觉.北京企业这是资料.你的日本客户内容这样国内内容一下.,completed,2022-08-21,2022-12-08,0,0,[],2.7,12,senior,low,high
267,更新如何项目,市场推广,一切下载计划一次.女人语言文章阅读有限生产.不同企业可是怎么注册.,completed,2022-10-07,2022-12-16,0,0,[],4.1,13,junior,medium,medium
268,阅读用户项目,系统集成,来自发生为了是否就是.感觉功能销售需要使用需要由于大小.中心产品所以所以操作最新各种.,planning,2023-07-05,2024-03-11,212,1,"[""Ruby"", ""SQLite""]",3.9,6,junior,high,low
269,介绍显示项目,咨询服务,下载一个建设希望然后出来以上所有.今天只是电子继续管理出来出来.,planning,2023-11-10,2024-05-25,0,0,[],3.1,4,senior,high,low
270,状态研究项目,市场推广,活动日期支持工程报告.国内计划继续主要得到.政府如何无法必须积分.,cancelled,2022-08-26,2023-04-20,0,0,[],3.9,9,junior,medium,high
271,文化制作项目,咨询服务,我们认为中心成为一种有关控制.,planning,2023-01-02,2023-04-27,0,0,[],3.7,16,senior,medium,medium
272,特别不断项目,咨询服务,具有虽然电影个人孩子重要社会质量.,in_progress,2023-08-26,2024-06-23,0,0,[],2.0,16,senior,high,medium
273,一些同时项目,咨询服务,你的活动这么所以.说明以上经营只有政府那么.,cancelled,2023-06-15,2024-06-08,0,0,[],2.2,12,senior,medium,high
274,我们提高项目,系统集成,地方地址要求处理一起论坛规定.公司事情就是地址可以部分.详细为什出现提高只是价格.,in_progress,2023-05-16,2024-03-22,232,29,"[""Docker"", ""PHP"", ""MySQL"", ""Node.js""]",3.0,8,senior,low,low
275,由于主要项目,系统集成,一下希望能力日期.无法新闻但是政府.最新控制加入日本.一起发生网络包括软件操作.,completed,2023-08-31,2024-06-03,435,48,"[""PHP"", ""MySQL""]",3.9,7,mixed,high,high
276,学习开发项目,软件开发,个人能够当前地方同时深圳说明网上.手机必须为什增加或者你们提高.投资是否网上市场.,cancelled,2023-04-19,2023-07-31,307,0,"[""Java"", ""AWS"", ""Spring""]",1.2,4,junior,high,high
277,开始合作项目,硬件采购,日期只是不会安全以及能够.起来控制影响介绍.详细城市电影.,completed,2022-11-19,2023-04-19,0,0,[],3.7,20,mixed,low,low
278,次数国家项目,咨询服务,等级知道以上中文成为市场.用户一些社会音乐发展.,planning,2024-07-03,2025-01-08,0,0,[],2.8,11,mixed,medium,low
279,部门起来项目,软件开发,出来等级浏览一切显示.全部情况如果国内工作提供一次一般.对于其他影响上海不断.,in_progress,2022-07-27,2023-06-24,466,0,"[""Spring"", ""SQLite"", ""Go"", ""Redis"", ""Flask""]",1.2,11,junior,high,low
280,组织一样项目,市场推广,内容关系最大最新.影响方式谢谢不是.合作一种社区社会最大.,completed,2022-12-20,2023-09-16,0,0,[],3.8,12,mixed,medium,low
281,类型就是项目,系统集成,记者东西加入正在看到其实.市场目前社会没有不同一种您的质量.大小发展介绍客户时间作品资料名称.来自地区一点.,cancelled,2024-06-23,2024-12-24,357,3,"[""Vue.js"", ""JavaScript""]",4.2,12,mixed,medium,medium
282,关系文件项目,硬件采购,解决法律时间.进行网上人民地区那个包括那么.,in_progress,2023-03-23,2023-12-22,0,0,[],2.4,15,junior,high,high
283,而且联系项目,咨询服务,怎么回复虽然人员文章这是介绍.由于完全发展国家名称浏览.由于注意能力结果登录发表.,cancelled,2022-10-08,2023-01-11,0,0,[],3.8,15,mixed,medium,medium
284,大学帮助项目,硬件采购,什么点击你们无法.地方发展继续增加不过学校.直接全国知道建设环境电脑.,planning,2023-04-03,2024-03-30,0,0,[],1.8,14,mixed,medium,high
285,表示位置项目,软件开发,东西其实大学全部已经.因此为什这么城市成功人民比较.参加如此地址男人因为不断.,in_progress,2023-11-08,2024-05-20,220,0,"[""PHP"", ""Node.js""]",1.0,14,senior,low,low
286,基本以下项目,软件开发,需要看到产品在线表示虽然.会员精华感觉客户两个.,planning,2023-01-09,2023-12-07,255,0,"[""Docker"", ""JavaScript"", ""Redis"", ""React"", ""Kubernetes""]",1.5,2,senior,medium,medium
287,最大最后项目,系统集成,资料以上人民出现环境大家关系.,in_progress,2023-02-02,2023-06-03,200,31,"[""Angular"", ""Google Cloud"", ""Azure""]",3.3,3,junior,medium,high
288,北京以上项目,市场推广,下载美国音乐生活帖子进行服务.游戏以上希望开始这种成为大小建设.无法过程拥有直接决定男人.,in_progress,2024-07-05,2025-01-09,0,0,[],2.9,15,senior,low,medium
289,喜欢生产项目,软件开发,以上查看历史有关.文章主题一下包括.,in_progress,2023-05-22,2023-08-31,288,0,"[""Kubernetes"", ""MongoDB"", ""Django"", ""Azure"", ""C#"", ""Ruby""]",3.5,3,mixed,high,high
290,进入成为项目,市场推广,事情质量政府查看.学习公司说明需要主题一般增加.开发提高信息电话对于.记者主题一些所有.,planning,2022-12-17,2023-04-05,0,0,[],3.0,11,junior,low,high
291,数据知道项目,系统集成,有限报告登录合作你的.开发选择出来工程重要之后.系列只要一些.,completed,2022-11-12,2022-12-29,279,31,"[""Flask"", ""PHP"", ""Ruby"", ""Python""]",2.4,3,mixed,high,low
292,社区经营项目,硬件采购,学生次数经验那么选择男人.生产评论规定其他这么结果通过.,planning,2024-03-10,2025-02-15,0,0,[],3.7,16,senior,medium,high
293,个人出来项目,咨询服务,如何规定经济工作.我们电脑有关完全首页.,completed,2023-02-25,2024-01-20,0,0,[],4.5,2,mixed,low,medium
294,教育因为项目,市场推广,系统程序基本各种关系积分.任何开始文件各种世界.感觉进行目前安全游戏可以来源.,completed,2023-12-18,2024-11-21,0,0,[],4.8,14,mixed,medium,high
295,就是电话项目,系统集成,出现完成地区得到发现任何这是比较.投资为了设备能够一个.,completed,2023-12-02,2024-01-23,141,23,"[""Spring"", ""Azure"", ""C#"", ""Go"", ""Node.js"", ""Flask""]",1.0,17,senior,low,medium
